Subject,DTI_mov_2mm,DTI_mov_3mm
8,0,0
9,0,0
15,0,0
19,0,0
25,1,1
29,0,0
31,1,1
35,0,0
44,0,0
51,0,0
53,0,0
54,1,0
56,0,0
64,0,0
65,0,0
69,0,0
71,0,0
72,0,0
75,0,0
83,0,0
90,0,0
93,0,0
95,1,0
107,0,0
108,0,0
113,0,0
119,0,0
121,0,0
123,1,1
124,0,0
125,0,0
128,0,0
129,1,1
134,1,1
138,0,0
141,0,0
143,0,0
144,1,0
145,0,0
149,0,0
151,1,0
153,0,0
154,0,0
156,0,0
157,0,0
161,0,0
165,0,0
172,0,0
173,0,0
175,0,0
176,0,0
177,0,0
182,0,0
185,0,0
186,1,0
195,0,0
197,0,0
198,0,0
201,0,0
202,0,0
205,1,0
208,1,1
210,1,0
212,0,0
216,0,0
219,0,0
221,0,0
225,0,0
227,0,0
230,0,0
231,0,0
232,0,0
235,0,0
237,0,0
253,0,0
256,1,1
261,0,0
263,1,0
264,0,0
266,1,1
277,0,0
288,1,1
292,0,0
293,0,0
300,0,0
301,0,0
304,0,0
307,0,0
310,0,0
312,0,0
313,0,0
314,1,1
319,1,1
320,1,1
322,1,0
327,0,0
331,0,0
332,0,0
333,0,0
344,0,0
346,0,0
348,0,0
353,1,1
355,1,1
356,0,0
357,0,0
358,0,0
364,0,0
369,0,0
371,0,0
374,0,0
381,1,1
390,0,0
396,1,1
399,1,0
402,1,1
409,0,0
413,0,0
416,0,0
417,0,0
423,1,1
424,0,0
426,0,0
427,0,0
429,0,0
431,0,0
432,0,0
440,1,1
452,1,1
456,0,0
458,1,1
464,0,0
469,0,0
472,0,0
478,0,0
480,0,0
483,1,1
484,0,0
485,0,0
491,0,0
496,0,0
499,1,1
504,0,0
517,0,0
526,0,0
532,0,0
535,0,0
536,0,0
537,1,1
542,0,0
544,0,0
545,0,0
547,1,1
548,0,0
549,1,1
552,0,0
566,0,0
568,0,0
576,0,0
577,0,0
579,0,0
580,0,0
592,0,0
593,0,0
595,0,0
598,1,1
599,0,0
600,0,0
602,0,0
610,1,0
611,0,0
615,0,0
616,0,0
619,0,0
623,0,0
625,0,0
630,0,0
631,0,0
645,0,0
650,0,0
651,0,0
662,0,0
665,1,0
670,1,1
675,0,0
678,0,0
684,0,0
686,1,1
689,1,1
691,1,1
694,1,1
696,0,0
712,0,0
715,0,0
734,0,0
739,0,0
752,0,0
754,0,0
761,1,1
765,0,0
769,0,0
783,0,0
784,0,0
786,0,0
789,0,0
790,0,0
791,1,1
795,0,0
804,1,1
806,0,0
815,0,0
818,0,0
821,0,0
829,0,0
840,0,0
841,0,0
848,1,1
850,0,0
861,0,0
863,0,0
868,0,0
869,0,0
874,0,0
876,0,0
877,1,1
878,0,0
879,0,0
884,0,0
891,0,0
892,0,0
893,0,0
894,0,0
898,0,0
905,0,0
906,0,0
912,0,0
913,1,1
914,0,0
918,0,0
928,1,0
934,0,0
935,0,0
939,0,0
940,1,1
942,0,0
953,0,0
954,0,0
966,0,0
971,0,0
982,0,0
984,1,0
992,0,0
994,1,1
996,0,0
1005,0,0
1006,0,0
1021,0,0
1026,0,0
1039,0,0
1049,1,1
1076,1,1
1077,0,0
1212,0,0
1213,1,0
1218,0,0
1221,0,0
1224,0,0
1227,0,0
1232,0,0
1234,0,0
1237,0,0
1239,0,0
1242,0,0
1244,0,0
1247,0,0
1249,0,0
1251,0,0
1253,1,1
1260,1,1
1262,0,0
1265,0,0
1267,1,0
1268,1,0
1269,0,0
1271,0,0
1278,0,0
1283,0,0
1291,0,0
1304,1,0
1318,0,0
1320,0,0
1322,1,1
1326,0,0
1333,1,1
1336,0,0
1337,0,0
1338,1,1
1340,0,0
1357,1,0
